标准技能名称,技能一级类型,技能簇编号,技能簇名称,原始技能类型,历史技能岗位数,历史与AI共同出现岗位数,近年与AI共同出现岗位数,活跃月份数,AI共现提升度,与AI共现强度_NPMI,历史AI协同占比,指标口径
决策树,其他技能,15,人工智能与数据挖掘,具体专业技能,4412,3141,455,111,66.68141860567468,0.5317582373894079,0.7119220308250227,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
Apache Storm,其他技能,19,大数据工程与数据仓库,工具软件与技术平台,13443,3096,173,103,21.57134135437035,0.3881604906941524,0.2303057353269359,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
风险管理,专业知识,14,金融风控、投资与合规,专业知识与行业经验,126358,3028,645,109,2.2445305739826305,0.1018921332931153,0.0239636588106807,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
Spring,其他技能,3,Java后端开发与中间件,工具软件与技术平台,140255,3000,835,108,2.0034352008537093,0.0874689214615406,0.0213896117785462,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
Docker,其他技能,13,云计算、系统运维与DevOps,工具软件与技术平台,35246,2939,1276,105,7.810199854710427,0.258068855641211,0.0833853486920501,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
MXNet,其他技能,15,人工智能与数据挖掘,工具软件与技术平台,2887,2884,346,107,93.56660466598608,0.568503131249815,0.9989608590232076,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
循环神经网络,其他技能,15,人工智能与数据挖掘,工具软件与技术平台,2909,2880,676,107,92.73019317012978,0.5672797725597901,0.9900309384668272,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
JavaScript,其他技能,10,Web前端开发,工具软件与技术平台,197616,2778,844,110,1.3166869615448773,0.0342998112551408,0.0140575661889725,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
GPU,其他技能,15,人工智能与数据挖掘,工具软件与技术平台,5959,2767,970,109,43.49187905872934,0.4701047496344975,0.4643396543044135,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
PowerPoint,其他技能,1,表达沟通与通用办公协作,方法、标准与流程,270190,2755,913,109,0.955046967299253,-0.005728356637084,0.0101965283689255,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
SAS,其他技能,15,人工智能与数据挖掘,方法、标准与流程,12820,2723,262,108,19.89445352451097,0.3718993869190451,0.212402496099844,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
统计分析,其他技能,15,人工智能与数据挖掘,方法、标准与流程,94674,2647,485,111,2.6187594814536053,0.1193040902428022,0.0279591017597228,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
Go,其他技能,13,云计算、系统运维与DevOps,工具软件与技术平台,29233,2643,934,107,8.46829882011235,0.264698156099281,0.0904115212260117,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
管理能力,非技术型技能,2,组织协调与商业执行,非技术性能力,328343,2510,857,108,0.7160087959646873,-0.0411283526218737,0.0076444449858836,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
MongoDB,其他技能,3,Java后端开发与中间件,工具软件与技术平台,43841,2416,498,109,5.161653845299306,0.2011192693369903,0.055108232020255,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
软件开发流程,其他技能,1,表达沟通与通用办公协作,方法、标准与流程,127392,2379,909,112,1.7491404534658337,0.068385662058818,0.0186746420497362,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
网络安全,其他技能,22,网络运维与信息安全,工具软件与技术平台,106544,2379,867,109,2.0914035576655605,0.0902435190483119,0.0223288031235921,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
Office办公软件,其他技能,1,表达沟通与通用办公协作,工具软件与技术平台,1143370,2283,903,109,0.1870214916578674,-0.2040261754150227,0.0019967289678756,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
强化学习,其他技能,15,人工智能与数据挖掘,方法、标准与流程,2462,2259,1165,105,85.94103512757513,0.5412938870229083,0.9175467099918764,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
C#,其他技能,7,网络通信与软件开发基础,工具软件与技术平台,78126,2194,1035,111,2.6303493424555504,0.117126847008907,0.028082840539641,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
Axure,其他技能,1,表达沟通与通用办公协作,方法、标准与流程,64584,2181,608,107,3.1630286383252946,0.1393607179848018,0.0337699739873652,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
Kubernetes,其他技能,13,云计算、系统运维与DevOps,工具软件与技术平台,24103,2180,972,95,8.471450758947112,0.258574043207223,0.0904451728000663,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
ETL,其他技能,19,大数据工程与数据仓库,工具软件与技术平台,25544,2174,441,104,7.971554730453756,0.2511298512458191,0.0851080488568744,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
诚信与职业道德,非技术型技能,14,金融风控、投资与合规,非技术性能力,459888,2104,658,110,0.4285150267147876,-0.1021136104835148,0.0045750269630866,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
Flink,其他技能,19,大数据工程与数据仓库,工具软件与技术平台,9802,2026,647,98,19.359633921579377,0.3554406965768294,0.2066925117322995,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
市场调研,其他技能,2,组织协调与商业执行,方法、标准与流程,179078,1975,669,108,1.0329927240068213,0.0038817894901624,0.0110287137448486,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
编程规范,其他技能,7,网络通信与软件开发基础,方法、标准与流程,52127,1959,803,107,3.5200116652505664,0.1503488642894816,0.0375812918449172,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
Excel,其他技能,1,表达沟通与通用办公协作,方法、标准与流程,329841,1943,747,110,0.5517477363921981,-0.0709750722778377,0.0058907170424537,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
数据清洗,其他技能,15,人工智能与数据挖掘,工具软件与技术平台,6376,1943,837,109,28.542820752719415,0.4000008558009372,0.3047365119196988,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
NoSQL,其他技能,3,Java后端开发与中间件,工具软件与技术平台,30936,1927,312,104,5.83431607719685,0.2103024422241009,0.0622898888026894,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
HTML,其他技能,10,Web前端开发,工具软件与技术平台,168341,1903,463,105,1.058817921548499,0.0068045118215146,0.0113044356395649,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
知识产权,专业知识,18,医药研发与药事管理,专业知识与行业经验,52124,1852,667,109,3.327941199097696,0.1426878507721446,0.0355306576624971,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
Elasticsearch,其他技能,19,大数据工程与数据仓库,工具软件与技术平台,14687,1753,281,104,11.179470111432492,0.2846321363190856,0.1193572547150541,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
自我驱动,非技术型技能,1,表达沟通与通用办公协作,非技术性能力,40668,1697,642,102,3.90842178576494,0.1601074669066859,0.0417281400609816,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
Scikit-learn,其他技能,15,人工智能与数据挖掘,工具软件与技术平台,1827,1697,610,108,86.99928690940808,0.5245442515799266,0.9288451012588944,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
Android开发,其他技能,7,网络通信与软件开发基础,工具软件与技术平台,97537,1635,339,107,1.5700763118834562,0.0527563659232973,0.0167628694751735,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
数理统计,其他技能,15,人工智能与数据挖掘,工具软件与技术平台,7142,1595,236,101,20.917666738201277,0.3545528766514244,0.2233267992159059,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
CSS,其他技能,10,Web前端开发,工具软件与技术平台,149686,1565,457,106,0.9792770052194336,-0.0024364295311907,0.0104552195930147,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
BI,其他技能,19,大数据工程与数据仓库,工具软件与技术平台,21636,1546,315,108,6.692754808837269,0.2208682213557971,0.0714549824366796,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
SPSS,其他技能,15,人工智能与数据挖掘,方法、标准与流程,11051,1521,125,102,12.891398486701537,0.2964691323200086,0.13763460320333,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
Git,其他技能,7,网络通信与软件开发基础,工具软件与技术平台,47844,1515,653,103,2.9659071371195385,0.126016394939894,0.0316654125909204,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
招投标,其他技能,16,建筑施工与工程造价,方法、标准与流程,171933,1473,507,99,0.8024461610685958,-0.0254280345865897,0.008567290746977,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
数据质量,其他技能,19,大数据工程与数据仓库,工具软件与技术平台,11945,1456,603,103,11.416884798755214,0.2809603433407759,0.1218920050230221,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
HTTP协议,其他技能,7,网络通信与软件开发基础,工具软件与技术平台,74249,1398,279,101,1.763554804894523,0.065152961890247,0.0188285364112648,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
MyBatis,其他技能,3,Java后端开发与中间件,工具软件与技术平台,71392,1390,336,103,1.8236338697756729,0.0689546458608917,0.0194699686239354,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
SQL Server,其他技能,3,Java后端开发与中间件,工具软件与技术平台,103683,1384,325,102,1.2502617171844308,0.0256204729094115,0.0133483791942748,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
数据治理,其他技能,19,大数据工程与数据仓库,工具软件与技术平台,10390,1370,622,101,12.350297453036886,0.2880045523203469,0.1318575553416746,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
多线程编程,其他技能,7,网络通信与软件开发基础,工具软件与技术平台,32969,1367,331,104,3.883605773088583,0.1554120165265161,0.0414631926961691,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
团队意识,非技术型技能,5,视觉设计与数字内容制作,非技术性能力,142456,1355,321,108,0.8909040792706138,-0.0132188433675926,0.0095117088785309,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
pandas,其他技能,15,人工智能与数据挖掘,工具软件与技术平台,2317,1342,702,101,54.249892259599925,0.456486260656562,0.5791972378075098,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
实践动手能力,非技术型技能,11,嵌入式与电子硬件开发,非技术性能力,92232,1318,344,104,1.3384624201223776,0.0332536058910498,0.014290051175297,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
ARM架构,其他技能,11,嵌入式与电子硬件开发,工具软件与技术平台,36478,1312,298,109,3.368799888276102,0.13847134552956,0.0359668841493502,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
